match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,A,2,0,2,14,14,16
0,B,4,2,1,3,4,
0,C,9,2,0,0,9,
0,D,13,2,1,7,13,
0,A,11,2,1,5,11,
0,B,15,0,2,1,1,
0,C,12,0,2,10,10,
0,D,8,2,0,6,8,
0,A,14,1,2,5,5,
0,B,4,2,0,15,4,
0,C,0,1,2,10,10,
0,D,13,0,2,8,8,
0,A,2,2,0,11,2,
0,B,3,2,0,1,3,
0,C,9,2,0,12,9,
0,D,7,2,0,6,7,
0,A,2,2,0,5,2,
0,B,3,2,0,15,3,
0,C,0,0,2,12,12,
0,D,13,2,0,6,13,
0,A,14,0,2,11,11,
0,B,4,2,1,1,4,
0,C,9,2,0,10,9,
0,D,7,1,2,8,8,
1,,4,2,0,13,4,
1,,8,2,0,3,8,
1,,10,2,0,2,10,
1,,9,2,0,11,9,
2,,4,0,2,9,9,
2,,8,3,1,10,8,
3,,4,2,1,10,4,
4,,8,2,1,9,8,
