match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,A,9,63,18,12,9,15
0,B,2,37,51,10,10,
0,C,13,52,18,0,13,
0,D,1,54,21,14,1,
0,B,4,31,13,6,4,
0,C,3,29,49,8,8,
0,D,5,29,33,15,15,
0,A,9,75,34,7,9,
0,B,2,63,61,4,2,
0,C,13,58,27,3,13,
0,D,1,65,21,5,1,
0,A,12,32,45,7,7,
0,B,2,56,22,6,2,
0,C,13,72,39,8,13,
0,D,1,74,52,15,1,
0,B,10,53,49,4,10,
0,C,0,37,49,3,3,
0,D,14,40,65,5,5,
1,,10,52,71,15,15,
1,,2,43,61,1,1,
1,,9,47,43,8,9,
1,,7,30,70,13,13,
2,,15,34,67,9,9,
2,,1,65,46,9,1,
3,,15,70,71,9,9,
4,,1,65,72,13,13,
