match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,A,4,3,0,11,4,16
0,B,2,3,0,5,2,
0,C,9,3,2,7,9,
0,D,15,0,3,13,13,
0,A,10,3,0,6,10,
0,C,8,3,0,0,8,
0,B,1,3,0,12,1,
0,D,14,3,1,3,14,
0,A,10,3,0,4,10,
0,B,1,3,0,5,1,
0,C,9,3,0,0,9,
0,D,15,3,0,3,15,
0,A,11,3,0,6,11,
0,C,8,3,1,7,8,
0,B,2,3,0,12,2,
0,D,14,0,3,13,13,
0,A,10,3,0,11,10,
0,B,5,1,3,12,12,
0,C,9,3,2,8,9,
0,D,15,3,1,14,15,
0,A,4,3,0,6,4,
0,C,0,1,3,7,7,
0,B,1,3,0,2,1,
0,D,3,1,3,13,13,
1,,1,3,1,15,1,
1,,13,3,1,2,13,
1,,9,3,0,4,9,
1,,7,3,1,10,7,
2,,1,3,1,9,1,
2,,13,1,3,7,7,
3,,13,2,3,9,9,
4,,1,1,3,7,7,
