match_round,group,team_a,score_a,score_b,team_b,winner,meta_data
0,C,15,3,1,3,15,16
0,B,2,3,0,12,2,
0,A,4,3,1,7,4,
0,D,8,3,0,5,8,
0,A,6,0,3,14,14,
0,B,11,0,3,10,10,
0,D,1,3,0,9,1,
0,C,0,0,3,13,13,
0,D,9,0,3,8,8,
0,B,2,3,0,11,2,
0,C,3,0,3,13,13,
0,A,4,3,0,6,4,
0,B,12,0,3,10,10,
0,A,7,3,0,14,7,
0,D,1,3,0,5,1,
0,C,15,0,3,0,15,
0,B,2,3,1,10,2,
0,B,12,3,1,11,12,
0,C,15,1,3,13,13,
0,A,7,3,0,6,7,
0,A,4,3,0,14,4,
0,D,9,3,1,5,9,
0,D,1,1,3,8,8,
0,C,3,3,0,0,3,
1,,1,0,3,2,2,
1,,10,3,2,8,10,
1,,15,3,0,4,9,
1,,13,3,0,7,7,
2,,2,3,1,13,2,
2,,10,3,0,15,10,
3,,13,3,0,15,13,
4,,2,3,0,10,2,
